Year,Period,Area,Adjusted,Preliminary,Unemployment Rate
"1999","Nov","Los Angeles County","Adj","Not Prelim","5.7"
"1999","Dec","Los Angeles County","Adj","Not Prelim","5.7"
"1998","Jan","Los Angeles County","Adj","Not Prelim","6.4"
"1998","Feb","Los Angeles County","Adj","Not Prelim","6.4"
"1998","Mar","Los Angeles County","Adj","Not Prelim","6.4"
"1998","Apr","Los Angeles County","Adj","Not Prelim","6.5"
"1998","May","Los Angeles County","Adj","Not Prelim","6.5"
"1998","Jun","Los Angeles County","Adj","Not Prelim","6.6"
"1998","Jul","Los Angeles County","Adj","Not Prelim","6.6"
"1998","Aug","Los Angeles County","Adj","Not Prelim","6.6"
"1998","Sep","Los Angeles County","Adj","Not Prelim","6.7"
"1998","Oct","Los Angeles County","Adj","Not Prelim","6.6"
"1998","Nov","Los Angeles County","Adj","Not Prelim","6.5"
"1998","Dec","Los Angeles County","Adj","Not Prelim","6.4"
"1997","Jan","Los Angeles County","Adj","Not Prelim","7.6"
"1997","Feb","Los Angeles County","Adj","Not Prelim","7.5"
"1997","Mar","Los Angeles County","Adj","Not Prelim","7.3"
"1997","Apr","Los Angeles County","Adj","Not Prelim","7.1"
"1997","May","Los Angeles County","Adj","Not Prelim","7.0"
"1997","Jun","Los Angeles County","Adj","Not Prelim","6.9"
"1997","Jul","Los Angeles County","Adj","Not Prelim","6.8"
"1997","Aug","Los Angeles County","Adj","Not Prelim","6.7"
"1997","Sep","Los Angeles County","Adj","Not Prelim","6.6"
"1997","Oct","Los Angeles County","Adj","Not Prelim","6.5"
"1997","Nov","Los Angeles County","Adj","Not Prelim","6.4"
"1997","Dec","Los Angeles County","Adj","Not Prelim","6.4"
"1996","Jan","Los Angeles County","Adj","Not Prelim","8.5"
"1996","Feb","Los Angeles County","Adj","Not Prelim","8.5"
"1996","Mar","Los Angeles County","Adj","Not Prelim","8.5"
"1996","Apr","Los Angeles County","Adj","Not Prelim","8.5"
"1996","May","Los Angeles County","Adj","Not Prelim","8.4"
"1996","Jun","Los Angeles County","Adj","Not Prelim","8.3"
"1996","Jul","Los Angeles County","Adj","Not Prelim","8.1"
"1996","Aug","Los Angeles County","Adj","Not Prelim","7.9"
"1996","Sep","Los Angeles County","Adj","Not Prelim","7.8"
"1996","Oct","Los Angeles County","Adj","Not Prelim","7.8"
"1996","Nov","Los Angeles County","Adj","Not Prelim","7.7"
"1996","Dec","Los Angeles County","Adj","Not Prelim","7.6"
