,area_type,area_name,date,year,month,seasonally_adjusted_y_n,status_preliminary_final,labor_force,employment,unemployment,unemployment_rate
106,MSA,"Sacramento--Roseville--Arden-Arcade, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,1095003,1019771,75232,0.069
107,MSA,"Salinas, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,211128,196727,14401,0.068
108,MSA,"San Diego-Carlsbad, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,1541292,1431865,109427,0.071
109,MSA,"San Francisco-Oakland-Hayward, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,2446561,2297305,149256,0.061
110,MSA,"San Jose-Sunnyvale-Santa Clara, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,1047993,992277,55716,0.053
111,MSA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,130003,122679,7324,0.056
112,MSA,"Santa Cruz-Watsonville, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,131223,122129,9094,0.069
113,MSA,"Santa Maria-Santa Barbara, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,215363,202032,13331,0.062
114,MSA,"Santa Rosa, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,241438,227018,14420,0.06
115,MSA,"Stockton-Lodi, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,330932,302184,28748,0.087
116,MSA,"Vallejo-Fairfield, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,201843,186103,15740,0.078
117,MSA,"Visalia-Porterville, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,196396,173840,22556,0.115
118,MSA,"Yuba City, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,73564,67221,6343,0.086
119,State,California,2021-04-01T00:00:00.000,2021,April,Y,Preliminary,18954200,17378100,1576100,0.083
120,State,California,2021-04-01T00:00:00.000,2021,April,N,Preliminary,18812400,17292400,1520000,0.081
121,Sub-County Place,Acton CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3500,3200,300,0.094
122,Sub-County Place,Adelanto city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,10200,8500,1600,0.161
123,Sub-County Place,Agoura Hills city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,11100,10300,900,0.076
124,Sub-County Place,Alameda city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,38400,36200,2300,0.059
125,Sub-County Place,Alamo CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,5800,5700,100,0.023
126,Sub-County Place,Albany city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9200,8700,400,0.048
127,Sub-County Place,Alhambra city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,46100,41500,4600,0.1
128,Sub-County Place,Aliso Viejo city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,28300,26800,1500,0.053
129,Sub-County Place,Alondra Park CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,4300,3900,400,0.097
130,Sub-County Place,Alpaugh CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,400,300,100,0.265
131,Sub-County Place,Alpine Village CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,80,80,0,0
132,Sub-County Place,Altadena CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,23100,20700,2300,0.101
133,Sub-County Place,Alta Sierra CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3360,3240,110,0.034
134,Sub-County Place,Alturas city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1090,960,120,0.112
135,Sub-County Place,Amador City city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,70,60,10,0.139
